Package Name,License Type,Version,Link,Country of Origin,Description
telemetry_metrics,Apache-2.0,~> 0.6 (transitive),https://github.com/beam-telemetry/telemetry_metrics,Poland,"Telemetry-based metrics definitions"
telemetry_poller,Apache-2.0,~> 1.0 (transitive),https://github.com/beam-telemetry/telemetry_poller,Poland,"Periodically gathers measurements and dispatches Telemetry events"
phoenix_pubsub,MIT,~> 2.1 (transitive),https://github.com/phoenixframework/phoenix_pubsub,USA,"Distributed PubSub and Presence platform for Phoenix"
phoenix_template,MIT,~> 1.0 (transitive),https://github.com/phoenixframework/phoenix_template,USA,"Template rendering for Phoenix"
phoenix_live_dashboard,MIT,~> 0.8 (optional),https://github.com/phoenixframework/phoenix_live_dashboard,USA,"Real-time performance monitoring dashboard for Phoenix"
mime,Apache-2.0,~> 2.0 (transitive),https://github.com/elixir-plug/mime,Brazil,"MIME type registry and helpers"
thousand_island,MIT,~> 1.0 (alternative),https://github.com/mtrudel/thousand_island,Canada,"Modern Elixir socket server"
bandit,MIT,~> 1.0 (alternative),https://github.com/mtrudel/bandit,Canada,"Pure Elixir HTTP server for Plug applications"
castore,BSD-3-Clause,~> 1.0 (transitive),https://github.com/elixir-mint/castore,Italy,"CA certificate store"
websock,MIT,~> 0.5 (transitive),https://github.com/phoenixframework/websock,USA,"WebSocket support for Phoenix"
websock_adapter,MIT,~> 0.5 (transitive),https://github.com/phoenixframework/websock_adapter,USA,"WebSocket adapters for web servers"
esbuild,MIT,~> 0.8 (optional),https://github.com/phoenixframework/esbuild,USA,"Mix tasks for installing and running esbuild"
tailwind,MIT,~> 0.2 (optional),https://github.com/phoenixframework/tailwind,USA,"Mix tasks for installing and running Tailwind CSS"
tailwindcss,MIT,3.3.0,https://github.com/tailwindlabs/tailwindcss,USA,"Utility-first CSS framework for rapidly building custom user interfaces"
floki,MIT,~> 0.35 (optional),https://github.com/philss/floki,Brazil,"HTML parser and manipulation library"
gettext,Apache-2.0,~> 0.22 (optional),https://github.com/elixir-gettext/gettext,Italy,"Internationalization and localization support"
swoosh,MIT,~> 1.11 (optional),https://github.com/swoosh/swoosh,USA,"Library for easy email composition and delivery"
finch,Apache-2.0,~> 0.16 (optional),https://github.com/sneako/finch,USA,"High-performance HTTP client built on Mint and NimblePool"
hackney,Apache-2.0,~> 1.18 (alternative),https://github.com/benoitc/hackney,France,"HTTP client library in Erlang"
httpoison,MIT,~> 2.1 (alternative),https://github.com/edgurgel/httpoison,Brazil,"HTTP client based on hackney"
decimal,Apache-2.0,~> 2.1 (transitive),https://github.com/ericmj/decimal,Sweden,"Arbitrary precision decimal arithmetic"
nimble_parsec,Apache-2.0,~> 1.3 (transitive),https://github.com/dashbitco/nimble_parsec,Brazil,"Text-based parser combinators"
nimble_pool,Apache-2.0,~> 1.0 (transitive),https://github.com/dashbitco/nimble_pool,Brazil,"Tiny resource-pool implementation"
mint,Apache-2.0,~> 1.5 (transitive),https://github.com/elixir-mint/mint,Italy,"Low-level HTTP client"
hpax,Apache-2.0,~> 0.1 (transitive),https://github.com/elixir-mint/hpax,Italy,"HPACK implementation for HTTP/2"

# JavaScript Dependencies (Client-side)
leaflet,BSD-2-Clause,1.9.4,https://github.com/Leaflet/Leaflet,Ukraine,"Leading open-source JavaScript library for interactive maps"
leaflet-draw,MIT,1.0.4,https://github.com/Leaflet/Leaflet.draw,Ukraine,"Vector drawing and editing plugin for Leaflet"
h3-js,Apache-2.0,4.1.0,https://github.com/uber/h3-js,USA,"JavaScript bindings for H3 geospatial indexing"
protobufjs,BSD-3-Clause,7.2.5,https://github.com/protobufjs/protobuf.js,Germany,"Protocol Buffers for JavaScript"
phoenix,Apache-2.0,1.7.0 (JS),https://github.com/phoenixframework/phoenix,USA,"Phoenix JavaScript client for channels and LiveView"
phoenix_html,MIT,3.3.0 (JS),https://github.com/phoenixframework/phoenix_html,USA,"Phoenix HTML JavaScript utilities"
phoenix_live_view,MIT,0.20.0 (JS),https://github.com/phoenixframework/phoenix_live_view,USA,"JavaScript client for Phoenix LiveView"
topbar,MIT,2.0.0,https://github.com/buunguyen/topbar,Vietnam,"Progress indicator for page loads"
alpinejs,MIT,3.13.0 (optional),https://github.com/alpinejs/alpine,USA,"Lightweight framework for composing behavior in markup"

# Development Tools
mix,Apache-2.0,Built-in,https://github.com/elixir-lang/elixir,Brazil,"Elixir build tool"
hex,Apache-2.0,Built-in,https://github.com/hexpm/hex,Sweden,"Package manager for the Erlang ecosystem"
iex,Apache-2.0,Built-in,https://github.com/elixir-lang/elixir,Brazil,"Interactive Elixir shell"
dialyxir,Apache-2.0,~> 1.3 (dev),https://github.com/jeremyjh/dialyxir,USA,"Mix tasks for Dialyzer static analysis tool"
credo,MIT,~> 1.7 (dev),https://github.com/rrrene/credo,Germany,"Static code analysis tool for Elixir"
ex_doc,Apache-2.0,~> 0.30 (dev),https://github.com/elixir-lang/ex_doc,Brazil,"Documentation generation tool for Elixir"
excoveralls,MIT,~> 0.17 (dev),https://github.com/parroty/excoveralls,Japan,"Coverage report tool for Elixir"

# System Dependencies (Non-Elixir)
erlang,Apache-2.0,OTP 26,https://github.com/erlang/otp,Sweden,"Programming language and runtime system"
nodejs,MIT,18+ (build),https://github.com/nodejs/node,USA,"JavaScript runtime for building assets"
npm,Artistic-2.0,9+ (build),https://github.com/npm/cli,USA,"Package manager for JavaScript"
nats-server,Apache-2.0,2.10.0+,https://github.com/nats-io/nats-server,USA,"High-performance cloud native messaging system"
protoc,BSD-3-Clause,3.21.0+,https://github.com/protocolbuffers/protobuf,USA,"Protocol buffer compiler"
postgresql,PostgreSQL License,15+ (optional),https://github.com/postgres/postgres,USA,"Object-relational database system (if using Ecto)"
redis,BSD-3-Clause,7+ (optional),https://github.com/redis/redis,Italy,"In-memory data structure store (for sessions/cache)"
nginx,BSD-2-Clause,1.24+ (deploy),https://github.com/nginx/nginx,Russia,"High-performance HTTP server and reverse proxy"
systemd,LGPL-2.1,250+ (deploy),https://github.com/systemd/systemd,Germany,"System and service manager for Linux"
docker,Apache-2.0,24+ (optional),https://github.com/docker/docker-ce,USA,"Container platform for deployment"
git,GPL-2.0,2.40+,https://github.com/git/git,USA,"Distributed version control system"
make,GPL-3.0,4.3+,https://github.com/mirror/make,USA,"Build automation tool"
gcc,GPL-3.0,11+,https://github.com/gcc-mirror/gcc,USA,"GNU Compiler Collection for native dependencies"
cmake,BSD-3-Clause,3.22+,https://github.com/Kitware/CMake,USA,"Cross-platform build system generator"
wget,GPL-3.0,1.21+,https://github.com/mirror/wget,USA,"Network downloader for fetching map tiles"
curl,MIT,7.88+,https://github.com/curl/curl,Sweden,"Command-line tool for transferring data with URLs"
openssl,Apache-2.0,3.0+,https://github.com/openssl/openssl,UK,"TLS/SSL toolkit for cryptography"
libsodium,ISC,1.0.18+,https://github.com/jedisct1/libsodium,France,"Modern cryptographic library"
imagemagick,Apache-2.0,7+ (optional),https://github.com/ImageMagick/ImageMagick,USA,"Image manipulation tools for tile processing"
gdal,MIT,3.6+ (optional),https://github.com/OSGeo/gdal,USA,"Geospatial Data Abstraction Library for map processing"
